CSK_scafold,count,source
C(CCC1CCCC1)CCC1CCC(CCCCCC2CCCC2)CC1,1,RNA binders
C1CCC(C2CCC(CCC3CCCC3)C2)CC1,1,RNA binders
C1CCCC(C2CCCCC2)CC1,1,RNA binders
C(CCCC1CCCC1)CCCC1CCC(CCC2CCCCC2)C1,1,RNA binders
C1CCC(C2CCC(C3CCCC4CCCC43)C2)CC1,1,RNA binders
C1CCC(CC2CC3CCC(C4CCCC4)C3C2)CC1,1,RNA binders
C1CCC(CCC(C2CCCCC2)C2CCCCC2)CC1,1,RNA binders
C1CCC(C2CCCC2CCC2CCC3CCCCC3C2)CC1,1,RNA binders
C1CCC(CC2CCC2C2CCCC2)CC1,1,RNA binders
C1CCC(C2CCC(CCCCC3CCC3)C2)CC1,1,RNA binders
C1CCC(C2CC3CCCCCC3C(C3CCC(C4CCCC4)C3)C2)CC1,1,RNA binders
C1CCC(C(CCC2CCC3CCCCC32)C2CCCC2)CC1,1,RNA binders
C1CCC(C2CCCCC2C2CCCC2)C1,1,RNA binders
C1CCCC(CC2CCC3CCCCC32)CC1,1,RNA binders
C1CCC(CCC2CC3CC(C2)C2C4CCCCC4C4C5CCCC5C5C6CCCCC6C3C5C24)CC1,1,RNA binders
C1CCC(C2CCCC(CC3CCC(C4CCCCC4)C3)C2)CC1,1,RNA binders
C1CCC(CC2CCCC(C3CCCC3)C2)CC1,1,RNA binders
C1CCC(CC2CCCC3(CCCCCC3)C2)CC1,1,RNA binders
C(CC1CCCC2CCCC12)CC1CCCC2CCCC12,1,RNA binders
C1CCC(C(CC2CC2)C2CCC3CCCC3C2)CC1,1,RNA binders
C1CCC(C2CC(C3CCCC4CCCCC43)C2)C1,1,RNA binders
C1CCC(CC2CCC(C3CCC(CC4CCCCC4)C3)C2)CC1,1,RNA binders
C1CCC(CCCC2CCC3CC4CCCC(C4)C4CCCC(CCCCCCCCC2C3)C4)C1,1,RNA binders
C(CCCC1CCCC1)CCC1CCCC1,1,RNA binders
C1CCC2C(C1)CC1CCC(C3C4CCCCC4C4CCCCC43)CC12,1,RNA binders
C1CCC(CC2CCC(CC3CCC(C4CCCCC4)CC3)C2)CC1,1,RNA binders
C1CCCC(CC2CCCC(CC3CCCC3)C2)CC1,1,RNA binders
C1CCC(CC2CCC(C3CCC4CCCC4C3)C2)CC1,1,RNA binders
C1CCC(C2CCCC2C2CCC3C(CCC4CCCCC43)C2)CC1,1,RNA binders
C1CCC(CC2CCC(CC3CCCC3)CC2)CC1,1,RNA binders
C1CCC(C2CCC(CCCC3CC3)CC2)CC1,1,RNA binders
C1CCC2CC(CC3CCC(C4CCCC4)C3)CCCC2C1,1,RNA binders
C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,1,RNA binders
C1CCC(CCCCC2CCC(CC3CCCCC3)C2C2CCCCC2)CC1,1,RNA binders
C1CCC(CCCCC(CC2CCCCC2)C2CCCCC2)CC1,1,RNA binders
C1CCC(CCC2CC3CCCCC3C(C3CCCCC3)C2)CC1,1,RNA binders
